"Pos","Comp","Date","Match","Score","Goalscorer","Goalkeeper","Min","Part"
9,"NOGU","3/11/1906","Juventus - Milan","2 - 1","Donna","Knoote","55","1 - 1"
10,"NOGU","3/11/1906","Juventus - Milan","2 - 1","Armano I","Knoote","65","2 - 1"
11,"NOGU","1/16/1910","Juventus - Milan","5 - 3","Borel E.","Gaslini",10,"1 - 0"
12,"NOGU","1/16/1910","Juventus - Milan","5 - 3","Moschino","Gaslini",30,"2 - 2"
13,"NOGU","1/16/1910","Juventus - Milan","5 - 3","Borel E.","Gaslini","53","3 - 3"
14,"NOGU","1/16/1910","Juventus - Milan","5 - 3","Barberis L.","Gaslini","61","4 - 3"
15,"NOGU","1/16/1910","Juventus - Milan","5 - 3","Moschino","Gaslini","67","5 - 3"
17,"NOGU","1/14/1912","Milan - Juventus","8 - 1","Besozzi","Barbieri L.",44,"3 - 1"
18,"NOGU","11/1/1913","Milan - Juventus","3 - 1","Dalmazzo","Barbieri L.","50","2 - 1"
19,"NOGU","1/25/1914","Juventus - Milan","2 - 1","Bona pen.","Barbieri L.",14,"1 - 0"
20,"NOGU","1/25/1914","Juventus - Milan","2 - 1","Bona","Barbieri L.","50","2 - 0"
21,"CoF","2/27/1916","Milan - Juventus","3 - 2","Reynaudi","Gambuti",29,"0 - 1"
22,"CoF","2/27/1916","Milan - Juventus","3 - 2","Bona","Gambuti","55","2 - 2"
23,"CoF","3/12/1916","Juventus - Milan","2 - 0","Bergante","Gambuti",5,"1 - 0"
24,"CoF","3/12/1916","Juventus - Milan","2 - 0","Pirovano pen.","Gambuti",25,"2 - 0"
25,"NOGU","10/16/1921","Milan - Juventus","1 - 3","Lovati og.","Binda",3,"0 - 1"
26,"NOGU","10/16/1921","Milan - Juventus","1 - 3","Marchi II","Binda",20,"1 - 2"
27,"NOGU","10/16/1921","Milan - Juventus","1 - 3","Gallo","Binda","61","1 - 3"
28,"NOGU","1/7/1923","Juventus - Milan","2 - 2","Monticone pen.","Midali II",25,"1 - 0"
29,"NOGU","1/7/1923","Juventus - Milan","2 - 2","Ferraris P.","Midali II","60","2 - 2"
30,"NOGU","10/26/1924","Juventus - Milan","5 - 3","Rosetta","Midali II",21,"1 - 1"
