"Pos","Comp","Date","Match","Score","Goalkeeper","Goalscorer","Min","Part"
5,"NOGU","3/11/1906","Juventus - Milan","2 - 1","Durante","Treré II",42,"0 - 1"
6,"NOGU","4/22/1906","Milan - Juventus","1 - 0","Durante","Rizzi",30,"1 - 0"
9,"NOGU","1/16/1910","Juventus - Milan","5 - 3","Pennano","Lana pen.",13,"1 - 1"
10,"NOGU","1/16/1910","Juventus - Milan","5 - 3","Pennano","De Vecchi",25,"1 - 2"
11,"NOGU","1/16/1910","Juventus - Milan","5 - 3","Pennano","Mayer O.",42,"2 - 3"
12,"NOGU","1/29/1911","Juventus - Milan","0 - 2","Pennano","Van Hege",7,"0 - 1"
13,"NOGU","1/29/1911","Juventus - Milan","0 - 2","Pennano","Cevenini I","85","0 - 2"
17,"NOGU","10/29/1911","Juventus - Milan","0 - 4","Pennano","Rizzi",45,"0 - 1"
18,"NOGU","10/29/1911","Juventus - Milan","0 - 4","Pennano","Rizzi","46","0 - 2"
19,"NOGU","10/29/1911","Juventus - Milan","0 - 4","Pennano","Cevenini I","60","0 - 3"
20,"NOGU","10/29/1911","Juventus - Milan","0 - 4","Pennano","Rizzi","85","0 - 4"
21,"NOGU","1/14/1912","Milan - Juventus","8 - 1","Pennano","Cevenini I",12,"1 - 0"
22,"NOGU","1/14/1912","Milan - Juventus","8 - 1","Pennano","Van Hege",20,"2 - 0"
23,"NOGU","1/14/1912","Milan - Juventus","8 - 1","Pennano","Rizzi",28,"3 - 0"
24,"NOGU","1/14/1912","Milan - Juventus","8 - 1","Pennano","Van Hege","59","4 - 1"
25,"NOGU","1/14/1912","Milan - Juventus","8 - 1","Pennano","Van Hege","65","5 - 1"
26,"NOGU","1/14/1912","Milan - Juventus","8 - 1","Pennano","Van Hege","74","6 - 1"
27,"NOGU","1/14/1912","Milan - Juventus","8 - 1","Pennano","Van Hege","75","7 - 1"
28,"NOGU","1/14/1912","Milan - Juventus","8 - 1","Pennano","Rizzi","85","8 - 1"
29,"NOGU","11/1/1913","Milan - Juventus","3 - 1","Montano","Van Hege",20,"1 - 0"
30,"NOGU","11/1/1913","Milan - Juventus","3 - 1","Montano","Van Hege",41,"2 - 0"
31,"NOGU","11/1/1913","Milan - Juventus","3 - 1","Montano","Lovati","70","3 - 1"
32,"NOGU","1/25/1914","Juventus - Milan","2 - 1","Montano","Treré II","75","2 - 1"
33,"CoF","2/27/1916","Milan - Juventus","3 - 2","Terzi","Cevenini I",33,"1 - 1"
34,"CoF","2/27/1916","Milan - Juventus","3 - 2","Terzi","Avanzini",35,"1 - 2"
35,"CoF","2/27/1916","Milan - Juventus","3 - 2","Terzi","Cevenini I","71","2 - 3"
36,"NOGU","10/16/1921","Milan - Juventus","1 - 3","Barucco","Santagostino G.",6,"1 - 1"
37,"NOGU","1/7/1923","Juventus - Milan","2 - 2","Combi","Santagostino G. pen.",40,"1 - 1"
38,"NOGU","1/7/1923","Juventus - Milan","2 - 2","Combi","Santagostino G.",45,"1 - 2"
39,"NOGU","10/26/1924","Juventus - Milan","5 - 3","Combi","Ostromann",1,"0 - 1"
40,"NOGU","10/26/1924","Juventus - Milan","5 - 3","Combi","Papa III","70","4 - 2"
41,"NOGU","10/26/1924","Juventus - Milan","5 - 3","Combi","Savelli","87","5 - 3"
42,"NOGU","3/28/1926","Milan - Juventus","1 - 2","Combi","Savelli",21,"1 - 1"
43,"NOGU","7/10/1927","Juventus - Milan","8 - 2","Combi","Savelli",31,"2 - 1"
44,"NOGU","7/10/1927","Juventus - Milan","8 - 2","Combi","Ostromann","87","7 - 2"
45,"NOGU","3/11/1928","Juventus - Milan","0 - 1","Combi","Torriani","60","0 - 1"
46,"NOGU","6/24/1928","Milan - Juventus","3 - 1","Combi","Torriani",27,"1 - 1"
47,"NOGU","6/24/1928","Milan - Juventus","3 - 1","Combi","Pastore","47","2 - 1"
48,"NOGU","6/24/1928","Milan - Juventus","3 - 1","Combi","Santagostino G.","58","3 - 1"
49,"SerA","12/8/1929","Juventus - Milan","3 - 1","Combi","Tansini",7,"0 - 1"
50,"SerA","5/4/1930","Milan - Juventus","1 - 1","Combi","Torriani","86","1 - 1"
51,"SerA","2/15/1931","Juventus - Milan","3 - 3","Combi","Torriani",15,"1 - 1"
52,"SerA","2/15/1931","Juventus - Milan","3 - 3","Combi","Magnozzi",30,"1 - 2"
53,"SerA","2/15/1931","Juventus - Milan","3 - 3","Combi","Arcari III",40,"1 - 3"
54,"SerA","1/22/1933","Milan - Juventus","1 - 1","Combi","Moretti G.","62","1 - 1"
55,"SerA","12/10/1933","Milan - Juventus","3 - 1","Combi","Moretti G.",1,"1 - 0"
56,"SerA","12/10/1933","Milan - Juventus","3 - 1","Combi","Caligaris og.","60","2 - 1"
57,"SerA","12/10/1933","Milan - Juventus","3 - 1","Combi","Moretti G.","74","3 - 1"
58,"SerA","5/19/1935","Milan - Juventus","3 - 0","Valinasso","Arcari III",15,"1 - 0"
59,"SerA","5/19/1935","Milan - Juventus","3 - 0","Valinasso","Romani","66","2 - 0"
60,"SerA","5/19/1935","Milan - Juventus","3 - 0","Valinasso","Arcari III","69","3 - 0"
61,"SerA","12/22/1935","Juventus - Milan","3 - 1","Valinasso","Moretti G.","81","3 - 1"
62,"SerA","4/19/1936","Milan - Juventus","2 - 1","Valinasso","Arcari III",41,"1 - 0"
63,"SerA","4/19/1936","Milan - Juventus","2 - 1","Valinasso","Spinola","82","2 - 0"
64,"SerA","12/27/1936","Milan - Juventus","3 - 4","Amoretti","Boffi","47","1 - 3"
65,"SerA","12/27/1936","Milan - Juventus","3 - 4","Amoretti","Cossio","66","2 - 4"
